categories,endDate,location,startDate,title
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",5/01/2023,Frankston Centenary Tennis Club | Frankston East,2/01/2023,2023 JT Junior 125 Frankston Centenary New Years Event
"[{'name': 'Open', 'ages': ['-10', '-12', '-14', '-16']}, {'name': 'Open', 'ages': []}]",5/01/2023,Hume Tennis and Community Centre | Craigieburn,2/01/2023,2023 Open 3K Hume Tennis Jan Event #1
"[{'name': 'Open', 'ages': ['Open', '-10', '13+']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",8/01/2023,Ballina Tennis Club | Ballina,5/01/2023,2023 O3K J125 Ballina New Years Open
"[{'name': 'Junior', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",8/01/2023,Sorrento Tennis Club | Perth,5/01/2023,2023 O3K J125 City of Joondalup Junior & Open Tennis Event
"[{'name': 'Junior', 'ages': ['10-12', '13-14']}, {'name': 'U12', 'ages': ['10-12']}, {'name': 'U14', 'ages': ['13-14']}]",9/01/2023,Tennis Australia | Wodonga,5/01/2023,2023 12u & 14u Australian Grasscourt Championships
"[{'name': 'Open', 'ages': ['-10', '-16']}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",9/01/2023,Albury Tennis Association | Albury,5/01/2023,2023 O3K  JP250 J125 Margaret Court Cup & Roche Series
"[{'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': ['-12', '-14', '-16', '-18']}]",8/01/2023,Tennis Victoria | Yarrawonga,6/01/2023,2023 OC JC 67th Inter-Regional Country Championships Victoria
"[{'name': 'Junior', 'ages': []}, {'name': 'Junior', 'ages': []}]",9/01/2023,IMG Discovery Open | Carnegie,6/01/2023,2023 JT Junior 125 IMG Lauriston Event
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['13+']}, {'name': 'Junior', 'ages': []}]",9/01/2023,Elite Tennis Academy | Mornington,6/01/2023,2023 O3K J125 Mornington Open & Junior 16s #1
"[{'name': 'Other', 'ages': []}, {'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': []}]",9/01/2023,Tennis SA | Kensington Gardens,9/01/2023,2023 OC JC Country Carnival
