categories,endDate,location,startDate,title
"[{'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': ['-11', '-13', '-14', '-16']}]",6/03/2023,Esperance Tennis Club | Esperance,3/03/2023,2023 O3 J125 Esperance March Open & Junior Event
"[{'name': 'Junior', 'ages': ['-17']}]",5/03/2023,Tennis Queensland | Cairns,4/03/2023,2023 JDS Far North Region - Cairns 2 days (1)
"[{'name': 'Junior', 'ages': ['-17']}]",5/03/2023,Tennis Queensland | Mooloolaba,4/03/2023,2023 JDS Sunshine Coast Region - Mooloolaba 4th & 5th March
"[{'name': 'Junior', 'ages': ['-10', '-12', '-14', '-16', '-18']}]",5/03/2023,Tennis Queensland | Springfield,4/03/2023,2023 JT Junior 125 BLTC Junior Championships
"[{'name': 'Open', 'ages': ['16+']}, {'name': 'Junior', 'ages': ['-12', '-14', '-16', '-18']}]",5/03/2023,Tennis Queensland | Charters Tower,4/03/2023,2023 OC JC Gold Pan
"[{'name': 'Open', 'ages': []}]",6/03/2023,Busselton Tennis Club | Busselton,4/03/2023,2023 Busselton March Open
"[{'name': 'Junior', 'ages': []}]",5/03/2023,Geelong LTC | Belmont,5/03/2023,2023 Community Geelong Lawn March UTR Band 0-5
"[{'name': 'Junior', 'ages': ['-10']}]",5/03/2023,Tennis Queensland | Gold Coast,5/03/2023,2023 JC Gold Coast Orange Ball - Queens Park
"[{'name': 'Junior', 'ages': ['-17']}]",12/03/2023,Tennis Queensland | Gold Coast,5/03/2023,2023 JDS Gold Coast Region - Canterbury Taipans Singles & Doubles (Sundays Only)
"[{'name': 'Open', 'ages': []}, {'name': 'Open', 'ages': ['16+']}]",10/03/2023,Tennis ACT | Canberra,6/03/2023,2023 Signature 20K ACT Open
